Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,215.5,218.98,215.0,218.06,5162372.0,0.0,1.0,215.5,218.98,215.0,218.06,5162372.0
2017-04-19,215.87,217.18,213.61,214.09,6422291.0,0.0,1.0,215.87,217.18,213.61,214.09,6422291.0
2017-04-18,219.32,219.89,213.18,215.59,12424310.0,0.0,1.0,219.32,219.89,213.18,215.59,12424310.0
2017-04-17,223.9,226.88,223.02,226.26,4159162.0,0.0,1.0,223.9,226.88,223.02,226.26,4159162.0
2017-04-13,225.18,228.17,223.08,223.32,3637100.0,0.0,1.0,225.18,228.17,223.08,223.32,3637100.0
2017-04-12,227.65,228.25,225.23,225.75,2939862.0,0.0,1.0,227.65,228.25,225.23,225.75,2939862.0
2017-04-11,227.78,229.4,225.39,227.74,3370245.0,0.0,1.0,227.78,229.4,225.39,227.74,3370245.0
2017-04-10,228.0,229.79,226.95,228.89,2623848.0,0.0,1.0,228.0,229.79,226.95,228.89,2623848.0
2017-04-07,226.6,228.83,226.23,227.88,2849573.0,0.0,1.0,226.6,228.83,226.23,227.88,2849573.0
2017-04-06,227.09,230.12,225.71,228.64,2918324.0,0.0,1.0,227.09,230.12,225.71,228.64,2918324.0
2017-04-05,232.15,232.89,227.31,227.66,5278039.0,0.0,1.0,232.15,232.89,227.31,227.66,5278039.0
2017-04-04,227.72,230.69,227.28,229.26,3032073.0,0.0,1.0,227.72,230.69,227.28,229.26,3032073.0
2017-04-03,230.0,230.1,225.57,228.96,3715572.0,0.0,1.0,230.0,230.1,225.57,228.96,3715572.0
2017-03-31,230.53,230.8,228.73,229.72,2854956.0,0.0,1.0,230.53,230.8,228.73,229.72,2854956.0
2017-03-30,229.48,232.0,229.38,231.22,3150561.0,0.0,1.0,229.48,232.0,229.38,231.22,3150561.0
2017-03-29,229.39,229.965,227.52,228.45,2631576.0,0.0,1.0,229.39,229.965,227.52,228.45,2631576.0
2017-03-28,225.58,229.75,225.1,229.33,4275990.0,0.0,1.0,225.58,229.75,225.1,229.33,4275990.0
