Words,Frequency,Rank
kept,18,481
followed,18,482
cold,18,483
square,18,484
magistrate,18,485
war,18,486
afterwards,18,487
atheist,18,488
tried,18,489
speech,18,490
wanted,18,491
person,18,492
sight,18,493
doubt,18,494
hat,18,495
trees,18,496
steel,17,497
machine,17,498
space,17,499
hope,17,500
solid,17,501
until,17,502
set,17,503
tree,17,504
movement,17,505
sat,17,506
often,17,507
dropped,17,508
complete,17,509
beautiful,17,510
making,17,511
sound,17,512
unknown,17,513
empty,17,514
village,17,515
corner,17,516
policemen,17,517
Don,17,518
work,17,519
smiling,17,520
lawn,17,521
stared,17,522
days,17,523
within,17,524
won,17,525
yellow,17,526
Quayle,17,527
enormous,16,528
simple,16,529
somehow,16,530
stranger,16,531
save,16,532
dead,16,533
till,16,534
enemy,16,535
particular,16,536
appeared,16,537
stepped,16,538
surprise,16,539
children,16,540
windows,16,541
With,16,542
sides,16,543
editor,16,544
scientific,16,545
impression,16,546
land,16,547
natural,16,548
Even,16,549
lunatic,16,550
friend,16,551
fool,16,552
easily,16,553
ground,16,554
added,16,555
wind,16,556
church,16,557
Durand,16,558
chin,16,559
Hutton,16,560
Professor,15,561
dream,15,562
since,15,563
view,15,564
ten,15,565
darkness,15,566
longer,15,567
deny,15,568
neck,15,569
hate,15,570
divine,15,571
hundred,15,572
showed,15,573
Our,15,574
used,15,575
call,15,576
bad,15,577
burst,15,578
seconds,15,579
quarrel,15,580
bright,15,581
close,15,582
coat,15,583
hardly,15,584
five,15,585
difference,15,586
fixed,15,587
steady,15,588
rose,15,589
farther,15,590
themselves,14,591
years,14,592
impossible,14,593
inside,14,594
slight,14,595
How,14,596
running,14,597
body,14,598
awful,14,599
four,14,600
perfectly,14,601
leave,14,602
living,14,603
arm,14,604
god,14,605
hung,14,606
glass,14,607
probably,14,608
alive,14,609
hold,14,610
third,14,611
exist,14,612
seat,14,613
wood,14,614
trust,14,615
keep,14,616
says,14,617
damned,14,618
clear,14,619
position,14,620
use,14,621
nose,14,622
sent,14,623
Who,14,624
knows,14,625
doctors,14,626
fear,13,627
calmly,13,628
help,13,629
Here,13,630
innocent,13,631
middle,13,632
dome,13,633
shock,13,634
sitting,13,635
clouds,13,636
boat,13,637
animal,13,638
easy,13,639
slowly,13,640
happen,13,641
mouth,13,642
violence,13,643
possible,13,644
states,13,645
pale,13,646
faith,13,647
yards,13,648
faces,13,649
pulled,13,650
existence,13,651
brought,13,652
moments,13,653
father,13,654
century,13,655
pause,13,656
break,13,657
opening,13,658
Cumberland,13,659
friends,13,660
hurry,13,661
kill,13,662
policeman,13,663
occurred,13,664
teeth,13,665
hole,13,666
slightly,13,667
walk,13,668
sunlight,13,669
remained,13,670
grew,13,671
nor,13,672
chauffeur,13,673
sergeant,13,674
hell,12,675
escape,12,676
arms,12,677
shot,12,678
twice,12,679
final,12,680
angry,12,681
eccentric,12,682
started,12,683
realized,12,684
sometimes,12,685
beginning,12,686
street,12,687
home,12,688
Perhaps,12,689
splendid,12,690
foot,12,691
equally,12,692
law,12,693
talked,12,694
understood,12,695
fancy,12,696
drew,12,697
curiosity,12,698
